"FileName","FilePath","BirthTime","AccessTime"
"Halliday, David_ Walker, Jearl_ Resnick, Robert - Halliday & Resnick fundamentals of physics-Wiley (2014).pdf","C:\Users\gabee\iCloudDrive\Desktop\Halliday, David_ Walker, Jearl_ Resnick, Robert - Halliday & Resnick fundamentals of physics-Wiley (2014).pdf","2/2/2022 10:57:56 AM","12/1/2023 11:59:49 AM"
"writeDate.sh","C:\Users\gabee\iCloudDrive\Desktop\writeDate.sh","2/10/2022 10:09:42 AM","12/1/2023 11:59:49 AM"
"Halliday, David_ Walker, Jearl_ Resnick, Robert - Halliday & Resnick fundamentals of physics-Wiley (2014).pdf","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Halliday, David_ Walker, Jearl_ Resnick, Robert - Halliday & Resnick fundamentals of physics-Wiley (2014).pdf","2/2/2022 10:57:56 AM","12/1/2023 11:59:53 AM"
"ips.png","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\ips.png","2/19/2022 3:00:49 PM","12/1/2023 11:59:53 AM"
"things that worked.png","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\things that worked.png","2/19/2022 3:01:04 PM","12/1/2023 11:59:53 AM"
"yo.png","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\yo.png","2/19/2022 7:51:27 PM","12/1/2023 11:59:53 AM"
"Capture_Data.dmg","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\Capture_Data.dmg","2/16/2022 9:57:14 AM","12/1/2023 12:00:54 PM"
"com.adobe.AdobeCreativeCloud.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.adobe.AdobeCreativeCloud.plist","2/2/2022 1:14:35 PM","12/1/2023 12:49:31 PM"
"com.adobe.ARMDCHelper.cc24aef4a1b90ed56a725c38014c95072f92651fb65e1bf9c8e43c37a23d420d.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.adobe.ARMDCHelper.cc24aef4a1b90ed56a725c38014c95072f92651fb65e1bf9c8e43c37a23d420d.plist","1/7/2022 11:27:24 PM","12/1/2023 12:49:31 PM"
"com.adobe.ccxprocess.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.adobe.ccxprocess.plist","12/14/2021 11:59:12 AM","12/1/2023 12:49:31 PM"
"com.fortinet.forticlient.credential_store.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.fortinet.forticlient.credential_store.plist","10/25/2021 1:55:25 PM","12/1/2023 12:49:31 PM"
"com.fortinet.forticlient.fct_launcher.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.fortinet.forticlient.fct_launcher.plist","10/25/2021 1:55:25 PM","12/1/2023 12:49:31 PM"
"com.fortinet.forticlient.ztagent.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.fortinet.forticlient.ztagent.plist","10/25/2021 1:55:25 PM","12/1/2023 12:49:31 PM"
"com.microsoft.update.agent.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\agents\com.microsoft.update.agent.plist","1/13/2022 10:09:42 PM","12/1/2023 12:49:31 PM"
