FileName,FilePath,BirthTime,AccessTime,WriteTime,,,,,
1Password Emergency Kit A3-Z73QKN-bantamtechnologies.pdf,C:\Users\gabee\Downloads\1Password Emergency Kit A3-Z73QKN-bantamtechnologies.pdf,6/5/2023 14:46,12/1/2023 11:55,6/5/2023 14:46,0,,,830.7417103,0
2023 MAY WORKSHEET.xlsx,C:\Users\gabee\Downloads\2023 MAY WORKSHEET.xlsx,6/5/2023 11:39,12/1/2023 11:55,6/5/2023 11:39,0,,,,
7z2301-x64.exe,C:\Users\gabee\Downloads\7z2301-x64.exe,8/31/2023 17:56,12/1/2023 11:55,8/31/2023 17:56,0,,,,
Academic Advisement Report Substitution 8.1.23 (1).pdf,C:\Users\gabee\Downloads\Academic Advisement Report Substitution 8.1.23 (1).pdf,11/3/2023 12:12,12/1/2023 11:55,11/3/2023 12:12,0,,,,
Academic Advisement Report Substitution 8.1.23.pdf,C:\Users\gabee\Downloads\Academic Advisement Report Substitution 8.1.23.pdf,11/3/2023 12:09,12/1/2023 11:55,11/3/2023 12:09,0,,,,
adnauseam.chromium.zip,C:\Users\gabee\Downloads\adnauseam.chromium.zip,10/17/2023 16:37,12/1/2023 11:55,10/17/2023 16:37,0,,,,
Adobe CS5 Master Collection.zip,C:\Users\gabee\Downloads\Adobe CS5 Master Collection.zip,10/18/2023 14:52,12/1/2023 11:55,10/18/2023 14:55,0,,,,
AdobePhotoshop19-mul_x64.zip,C:\Users\gabee\Downloads\AdobePhotoshop19-mul_x64.zip,10/18/2023 14:50,12/1/2023 11:55,10/18/2023 14:50,0,,,,
agents (1).drawio,C:\Users\gabee\Downloads\agents (1).drawio,11/12/2023 19:09,12/1/2023 11:55,11/12/2023 19:09,0,,,,
agents.drawio,C:\Users\gabee\Downloads\agents.drawio,11/12/2023 19:04,12/1/2023 11:55,11/12/2023 19:04,0,,,,
agents.drawio.png,C:\Users\gabee\Downloads\agents.drawio.png,11/12/2023 19:10,12/1/2023 11:55,11/12/2023 19:10,0,,,,
annotated-Binder1.pdf,C:\Users\gabee\Downloads\annotated-Binder1.pdf,10/10/2023 17:25,12/1/2023 11:55,10/10/2023 17:25,0,,,,
annotated-Lab_7__SHM.pdf,C:\Users\gabee\Downloads\annotated-Lab_7__SHM.pdf,11/14/2023 9:09,12/1/2023 11:55,11/14/2023 9:09,0,,,,
