Filename,Inode,Parent Path,Birth Time,Access Time,Modify Time,Change Time
1Password Emergency Kit A3-Z73QKN-bantamtechnologies.pdf,5629499534311670,Downloads,-,2023-06-05 14:46:28.647707700 -0400,2023-06-05 14:46:27.843527900 -0400,2023-06-05 14:46:27.843527900 -0400
2023 MAY WORKSHEET.xlsx,1970324836996845,Downloads,-,2023-10-24 14:49:04.966435800 -0400,2023-06-05 11:39:57.520744000 -0400,2023-06-05 11:40:01.198560700 -0400
7z2301-x64.exe,2533274790417616,Downloads,-,2023-11-08 04:54:59.211347900 -0500,2023-08-31 17:56:24.043900100 -0400,2023-08-31 17:56:25.317086900 -0400
APznzabzdz_hlsthWuwQn07BL2duag1SGwicHwvSmj-EAfPaNKZInTVCO59IOV7l79W8MwgNTooQF37L6QCk4dNYvpxWOKwf6hKYvkfGfa-Qwru4UsMAmQ2f7drT4mAwityoU5WvjntxvktgqPqaobF6fZipy6KqJ2hmGpMKIaMAVRyXmJ3rMmBDH.pdf,1688849860382757,Downloads,-,2023-05-07 10:49:43.826700000 -0400,2023-03-28 12:16:28.020448100 -0400,2023-03-28 12:16:34.249672600 -0400
Academic Advisement Report Substitution 8.1.23 (1).pdf,3096224743963199,Downloads,-,2023-11-20 14:19:33.141864300 -0500,2023-11-03 12:12:41.407501900 -0400,2023-11-03 12:13:09.362749500 -0400
Academic Advisement Report Substitution 8.1.23.pdf,3096224743886621,Downloads,-,2023-11-20 14:19:35.003509800 -0500,2023-11-03 12:09:40.724359500 -0400,2023-11-03 12:11:13.868928300 -0400
Set-up.exe,27021597764482102,Downloads/Adobe CS5 Master Collection/Adobe CS5 Master Collection/Adobe CS5,-,2023-11-08 04:55:59.712011800 -0500,2023-10-18 14:55:32.937345000 -0400,2023-10-18 15:00:25.777292500 -0400
install-en_GB.xml,6192449487893621,Downloads/Adobe CS5 Master Collection/Adobe CS5 Master Collection/Adobe CS5/deploy,-,2023-10-18 14:56:59.992649100 -0400,2023-10-18 14:55:32.992351600 -0400,2023-10-18 14:55:32.992351600 -0400
install-en_US.xml,13229323905660055,Downloads/Adobe CS5 Master Collection/Adobe CS5 Master Collection/Adobe CS5/deploy,-,2023-10-18 14:56:59.972544700 -0400,2023-10-18 14:55:33.037508800 -0400,2023-10-18 14:55:33.037508800 -0400
uninstall-en_GB.xml,3096224744076541,Downloads/Adobe CS5 Master Collection/Adobe CS5 Master Collection/Adobe CS5/deploy,-,2023-10-18 14:56:59.945602300 -0400,2023-10-18 14:55:33.081289600 -0400,2023-10-18 14:55:33.081289600 -0400
uninstall-en_US.xml,4785074604363124,Downloads/Adobe CS5 Master Collection/Adobe CS5 Master Collection/Adobe CS5/deploy,-,2023-10-18 14:56:59.927509400 -0400,2023-10-18 14:55:33.122513000 -0400,2023-10-18 14:55:33.122513000 -0400
