"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\monkey movie poster-assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\TI-Nspire CX\Images","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\Documents - Gabriel?s MacBook Pro\TI-Nspire CX\Images","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@jest\reporters\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Pictures\phi delt","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs\cnts","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\HackCWRU Graphics","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\RCCIR\Logger","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@jest\reporters\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\HackCWRU2021-Website\public\images","1","Yes"
"C:\Users\gabee\iCloudDrive\Desktop\to save","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@jest\reporters\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@jest\reporters\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Pictures\Screenshots","1","Yes"
"C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\to save","1","Yes"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\undici\docs\assets","1","Yes"
"C:\Users\gabee\iCloudDrive\Pictures\RUGBY","1","Yes"
"C:\Users\gabee\iCloudDrive\Pictures","0.956521739130435","Yes"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\EPF","0.833333333333333","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\HackCWRU2020-Website\src\Assets\SponsorLogos","0.777777777777778","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs","0.75","No"
"C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup","0.75","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs\prods","0.75","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3\Sample Movies\Microgravity","0.6","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\static","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\IND\D2","0.5","No"
"C:\Users\gabee\iCloudDrive\Pictures\israel\download","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\static","0.5","No"
"C:\Users\gabee\iCloudDrive\Pictures\israel\download (1)","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\static","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test2\jorr\static","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\DCCIR","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj\jorr\static","0.5","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\static","0.5","No"
