Filename,Inode,Parent Path,Birth Time,Access Time,Modify Time,Change Time
10_24 Blank SI Sheet.pdf,281474976966540,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-24 11:23:04.000000000 -0400,2021-10-24 11:23:04.000000000 -0400,2023-11-14 13:05:45.336154100 -0500
10_26 Blank .pdf,281474976966716,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-25 21:46:13.000000000 -0400,2021-10-25 21:46:13.000000000 -0400,2023-11-14 13:08:57.732310100 -0500
10_3 Blank Session Sheet.pdf,281474976965703,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-02 16:19:17.000000000 -0400,2021-10-02 16:19:17.000000000 -0400,2023-11-14 11:54:02.527978400 -0500
10_31 Blank SI Sheet.pdf,281474976966616,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-31 18:00:29.000000000 -0400,2021-10-31 18:00:29.000000000 -0400,2023-11-14 13:07:08.753151600 -0500
10_7 Blank Sheet.pdf,281474976965846,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-07 11:25:51.000000000 -0400,2021-10-07 11:25:51.000000000 -0400,2023-11-14 11:56:40.969709100 -0500
11-21-21 blank sheet.pdf,281474976966216,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-21 12:22:20.000000000 -0500,2021-11-21 12:22:20.000000000 -0500,2023-11-14 12:05:57.129122000 -0500
11_14 Blank Sheet.pdf,562949953676220,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-14 12:17:30.000000000 -0500,2021-11-14 12:17:30.000000000 -0500,2023-11-14 11:59:13.440724300 -0500
11_16 Blank.pdf,281474976965907,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-16 17:11:46.000000000 -0500,2021-11-16 17:11:46.000000000 -0500,2023-11-14 11:57:56.183179200 -0500
11_2 CHEM 111 SI Session-FInal.pdf,281474976966265,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-02 10:10:09.000000000 -0400,2021-11-02 10:10:09.000000000 -0400,2023-11-14 12:06:59.518736100 -0500
11_30_21.pdf,562949953676792,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-30 11:50:58.000000000 -0500,2021-11-30 11:50:58.000000000 -0500,2023-11-14 12:04:00.428568700 -0500
11_4_21 SI Session (1).pdf,281474976966213,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-04 11:40:49.000000000 -0400,2021-11-04 11:40:50.000000000 -0400,2023-11-14 12:05:46.518194100 -0500
2021 CHEM 111 SI Information.pdf,281474976966282,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-30 20:06:37.000000000 -0400,2021-08-30 20:06:37.000000000 -0400,2023-11-14 12:07:19.022522800 -0500
8-30_Lecture_Notes_.pdf,562949953676590,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-03 10:19:25.000000000 -0400,2021-09-03 10:19:25.000000000 -0400,2023-11-14 12:00:26.625140600 -0500
8_31 SI Session - Blank.pdf,281474976966320,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-30 20:06:51.000000000 -0400,2021-08-30 20:06:51.000000000 -0400,2023-11-14 12:07:58.446994800 -0500
9-1-9-3_Lecture_Notes_.pdf,1688849860793356,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-04 18:22:19.000000000 -0400,2021-09-04 18:22:19.000000000 -0400,2021-09-04 18:22:19.000000000 -0400
9_2 Session Sheet Blank.pdf,281474976965699,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-05 12:29:33.000000000 -0400,2021-09-05 12:29:33.000000000 -0400,2023-11-14 11:53:52.911066800 -0500
9_20_Lecture_Notes_.pdf,281474976965750,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 16:25:37.000000000 -0400,2021-09-21 16:25:37.000000000 -0400,2023-11-14 11:54:47.771242300 -0500
9_24_Lecture_Notes_.pdf,281474976966294,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-27 10:46:59.000000000 -0400,2021-09-27 10:46:59.000000000 -0400,2023-11-14 12:07:29.487512900 -0500
9_28 Blank Sheet .pdf,281474976966479,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-28 11:09:35.000000000 -0400,2021-09-28 11:09:35.000000000 -0400,2023-11-14 13:04:44.065919900 -0500
9_30 CHEM SI Sheet REVISED.pdf,281474976965888,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-30 10:38:41.000000000 -0400,2021-09-30 10:38:41.000000000 -0400,2023-11-14 11:57:24.640187400 -0500
9_30 CHEM SI Sheet.pdf,281474976965847,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-30 10:06:21.000000000 -0400,2021-09-30 10:06:21.000000000 -0400,2023-11-14 11:56:41.027807500 -0500
9_7 Blank Session Sheet Email to Students .pdf,281474976966159,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-07 12:56:11.000000000 -0400,2021-09-07 12:56:11.000000000 -0400,2023-11-14 12:04:33.270763400 -0500
9_8-9_10_Lecture_Notes_.pdf,3940649674483178,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-19 11:39:46.000000000 -0400,2021-09-19 11:39:46.000000000 -0400,2021-09-19 11:39:46.000000000 -0400
ALEKS - Gabriel Wolf - Learn.pdf,281474976966408,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-23 17:04:01.000000000 -0500,2021-11-23 17:04:01.000000000 -0500,2023-11-14 13:03:15.162711200 -0500
Answer Key for Naming 9.2.2021 .pdf,6755399441156247,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-05 12:29:40.000000000 -0400,2021-09-05 12:29:40.000000000 -0400,2021-09-05 12:29:40.000000000 -0400
Appendix G.pdf,2251799814219229,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-20 10:08:31.000000000 -0400,2021-10-20 10:08:31.000000000 -0400,2021-10-20 10:08:31.000000000 -0400
Aq rxn PP 1 key.docx,562949953676039,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-03 13:32:57.000000000 -0400,2021-10-03 13:32:57.000000000 -0400,2023-11-14 11:59:02.126603100 -0500
Aq rxn PP 1.docx,281474976966565,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-03 13:32:51.000000000 -0400,2021-10-03 13:32:51.000000000 -0400,2023-11-14 13:06:11.639966500 -0500
