Filename,Inode,File Type,Parent Path,Birth Time,Access Time,Modify Time,Change Time
2026.png,7881299348234686,regular file,iCloudDrive/Pictures,-,2023-12-01 16:19:50.304904200 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 16:19:50.304904200 -0500
2026.psd,844424930387681,regular file,iCloudDrive/Pictures,-,2023-12-01 12:50:49.251335100 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 11:58:41.774468300 -0500
50 percent transparent.png,2814749767345099,regular file,iCloudDrive/Pictures,-,2023-12-01 12:50:49.244336700 -0500,2023-04-16 20:19:50.029175300 -0400,2023-12-01 11:58:41.783469300 -0500
desktop.ini,281474977005511,regular file,iCloudDrive/Pictures/Camera Roll,-,2023-12-01 16:19:49.762096200 -0500,2023-03-24 11:54:35.143575300 -0400,2023-12-01 16:19:49.762096200 -0500
Case_Western_Reserve_University_Spartans_logo_mascot.png,281474976965918,regular file,iCloudDrive/Pictures,-,2023-12-01 12:50:49.229056400 -0500,2023-03-19 12:31:40.000000000 -0400,2023-12-01 11:58:41.797995500 -0500
DSC03209.jpeg,844424930387792,regular file,iCloudDrive/Pictures,-,2023-12-01 16:19:50.571352400 -0500,2023-10-02 20:53:11.000000000 -0400,2023-12-01 16:19:50.209591000 -0500
DSC03210.jpeg,1688849860793474,regular file,iCloudDrive/Pictures,-,2023-12-01 16:19:50.746654700 -0500,2023-10-02 20:46:13.000000000 -0400,2023-12-01 16:19:50.209591000 -0500
Euclid 3 town home.MOV,4222124650662854,regular file,iCloudDrive/Pictures,-,2023-12-01 12:50:49.147294300 -0500,2023-07-11 19:45:50.937401300 -0400,2023-12-01 11:59:27.038875600 -0500
Flag-Israel.webp,7036874417780915,regular file,iCloudDrive/Pictures,-,2023-12-01 16:19:50.824874100 -0500,2023-11-08 13:34:44.000000000 -0500,2023-12-01 16:19:50.762390000 -0500
5v5 rugby water polo poster 2.psd,5629499534450006,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:49:21.685512000 -0500,2023-04-03 14:55:52.806346300 -0400,2023-12-01 12:03:43.933063500 -0500
5v5 rugby water polo poster 3.png,3940649674163415,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:49:21.676303200 -0500,2023-04-03 14:56:06.540542900 -0400,2023-12-01 12:03:43.940072600 -0500
5v5 rugby water polo poster.psd,5348024558036319,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:49:21.597375000 -0500,2023-03-22 15:35:06.000000000 -0400,2023-12-01 12:04:06.099770100 -0500
cwru athletics but rugby 1.png,281474976966709,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:49:21.589251000 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 12:04:06.106767600 -0500
cwru athletics but rugby.psd,2533274790925461,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:04:27.731579300 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 12:04:27.727579600 -0500
rugby night poster 1.png,281474976965633,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:04:27.730578200 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 12:04:27.730578200 -0500
rugby night poster 2.png,281474976966385,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:04:27.730578200 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 12:04:27.730578200 -0500
rugby night poster 3.png,281474976966353,regular file,iCloudDrive/Pictures/RUGBY,-,2023-12-01 12:04:27.729578900 -0500,2023-03-10 13:00:11.000000000 -0500,2023-12-01 12:04:27.729578900 -0500
Screenshot 2023-03-26 171230.png,1407374883941486,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.563006700 -0500,2023-03-26 17:12:30.406819600 -0400,2023-12-01 12:49:20.789304500 -0500
Screenshot 2023-03-26 171328.png,1407374883941507,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.563006700 -0500,2023-03-26 17:13:28.000000000 -0400,2023-12-01 12:49:20.798288900 -0500
Screenshot 2023-03-26 172628.png,844424930388960,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.562000700 -0500,2023-03-26 17:26:29.000000000 -0400,2023-12-01 12:49:20.806288800 -0500
Screenshot 2023-03-26 172650.png,562949953678440,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.562000700 -0500,2023-03-26 17:26:50.039509100 -0400,2023-12-01 12:49:20.814288300 -0500
Screenshot 2023-03-26 172657.png,562949953678572,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.562000700 -0500,2023-03-26 17:26:57.905351200 -0400,2023-12-01 12:49:20.821289100 -0500
Screenshot 2023-03-26 172723.png,1407374883604773,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.561002300 -0500,2023-03-26 17:27:23.478135500 -0400,2023-12-01 12:49:20.829288400 -0500
Screenshot 2023-03-26 172732.png,1125899907099658,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.560003300 -0500,2023-03-26 17:27:32.516447000 -0400,2023-12-01 12:49:20.837486600 -0500
Screenshot 2023-03-26 172754.png,844424930389249,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.560003300 -0500,2023-03-26 17:27:54.671660100 -0400,2023-12-01 12:49:20.845486300 -0500
