FileName,FilePath,BirthTime,AccessTime,,,,,
2026.png,C:\Users\gabee\iCloudDrive\Pictures\2026.png,3/10/2023 13:00,12/1/2023 16:19,266,,,140.1827875,233
2026.psd,C:\Users\gabee\iCloudDrive\Pictures\2026.psd,3/10/2023 13:00,12/1/2023 16:27,266,,,,
50 percent transparent.png,C:\Users\gabee\iCloudDrive\Pictures\50 percent transparent.png,4/16/2023 20:19,12/1/2023 16:27,229,,,,
aetna back.jpg,C:\Users\gabee\iCloudDrive\Pictures\aetna back.jpg,7/8/2023 14:40,12/1/2023 16:27,146,,,,
aetna front.jpg,C:\Users\gabee\iCloudDrive\Pictures\aetna front.jpg,7/8/2023 14:40,12/1/2023 16:27,146,,,,
Case_Western_Reserve_University_Spartans_logo_mascot.png,C:\Users\gabee\iCloudDrive\Pictures\Case_Western_Reserve_University_Spartans_logo_mascot.png,3/19/2023 12:31,12/1/2023 16:27,257,,,,
download.jpg,C:\Users\gabee\iCloudDrive\Pictures\download.jpg,4/15/2023 15:41,12/1/2023 16:26,230,,,,
DSC03209.jpeg,C:\Users\gabee\iCloudDrive\Pictures\DSC03209.jpeg,10/2/2023 20:53,12/1/2023 16:19,60,,,,
DSC03210.jpeg,C:\Users\gabee\iCloudDrive\Pictures\DSC03210.jpeg,10/2/2023 20:46,12/1/2023 16:19,60,,,,
Euclid 3 town home.MOV,C:\Users\gabee\iCloudDrive\Pictures\Euclid 3 town home.MOV,7/11/2023 19:45,12/1/2023 16:27,143,,,,
fal1.png,C:\Users\gabee\iCloudDrive\Pictures\fal1.png,6/7/2023 17:23,12/1/2023 16:26,177,,,,
fal2.png,C:\Users\gabee\iCloudDrive\Pictures\fal2.png,6/7/2023 17:23,12/1/2023 16:26,177,,,,
fal3.png,C:\Users\gabee\iCloudDrive\Pictures\fal3.png,6/7/2023 17:24,12/1/2023 16:27,177,,,,
Flag-Israel.webp,C:\Users\gabee\iCloudDrive\Pictures\Flag-Israel.webp,11/8/2023 13:34,12/1/2023 16:19,23,,,,
green look.jpg,C:\Users\gabee\iCloudDrive\Pictures\green look.jpg,4/15/2023 15:23,12/1/2023 16:27,230,,,,
green smile.jpg,C:\Users\gabee\iCloudDrive\Pictures\green smile.jpg,4/15/2023 15:23,12/1/2023 16:27,230,,,,
