Parent Path,Access Time
iCloudDrive/Documents/Classes/CHEM 111,1808-08-23 09:42:13.194932224+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1,1684-06-30 23:25:51.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10,1678-07-31 00:17:44.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11,2215-11-04 13:01:17+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12,1734-12-20 05:42:15.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 13,2169-06-01 20:49:33+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14,1734-04-02 05:04:39.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 15,2123-12-19 16:18:16+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 16,2169-12-30 20:01:32+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17,1731-09-05 11:32:31.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18,1973-08-02 12:44:03.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 19,2116-07-26 12:08:39+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2,1731-07-31 00:49:34.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 20,2169-12-24 02:38:04+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21,1678-07-31 00:46:42.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 3,2169-01-22 23:05:13+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 4,2216-02-22 22:17:30+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 5,2118-06-09 23:57:17+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 6,2220-02-04 20:54:06+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 7,1679-04-13 13:55:13.290448384+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 8,2165-06-03 15:51:33+00:00
iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 9,1684-01-31 10:41:06.290448384+00:00
iCloudDrive/Documents/Classes/CHIN 101,2233-07-29 21:12:34+00:00
iCloudDrive/Documents/Classes/CSDS 233,2117-04-05 03:57:56.367894872+00:00
iCloudDrive/Documents/Classes/CSDS 233/Asssignments,1695-07-20 11:17:19.207567468+00:00
iCloudDrive/Documents/Classes/CSDS 233/Asssignments/P3_gew39_Wolf/P3,2075-09-12 18:11:55.065181800+00:00
iCloudDrive/Documents/Classes/CSDS 233/In Class,2176-09-04 19:08:23+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/Courses,2176-09-18 01:33:57+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P2P1,2073-06-08 16:18:47+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P2P2,2176-12-04 23:00:38+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P3,2073-07-12 11:22:11+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P4,2073-09-18 22:53:29+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P5,2073-09-24 14:40:45+00:00
iCloudDrive/Documents/Classes/CSDS 233/Programming Exercises/P6,2073-11-05 05:24:56+00:00
iCloudDrive/Documents/Classes/CSDS 233/SI Sessions,2228-11-03 13:47:50+00:00
iCloudDrive/Documents/Classes/CSDS 233/Sample,1849-12-14 17:27:56.290448384+00:00
iCloudDrive/Documents/Classes/CSDS 233/Sample/HelloWorld,2021-08-12 01:36:41+00:00
iCloudDrive/Documents/Classes/CSDS 233/Sample/LinkedList,2176-06-15 17:29:52+00:00
iCloudDrive/Documents/Classes/CSDS 281,1950-03-23 12:54:38.580896768+00:00
iCloudDrive/Documents/Classes/CSDS 281/Assembly/HW12,2231-06-25 04:12:21+00:00
iCloudDrive/Documents/Classes/CSDS 281/Exams/1,1802-07-26 21:32:02.290448384+00:00
iCloudDrive/Documents/Classes/CSDS 281/Exams/2,1803-06-03 07:24:48.290448384+00:00
iCloudDrive/Documents/Classes/CSDS 281/Homework,1792-10-10 11:41:05.580896768+00:00
iCloudDrive/Documents/Classes/CSDS 281/ModelSim/Homework 1,1697-09-04 07:13:11.290448384+00:00
iCloudDrive/Documents/Classes/CSDS 281/ModelSim/Homework 1/Sim,2178-02-25 18:36:00+00:00
