"DirectoryPath","Level","FileCount","AveragePriority","OverallPriority"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\out","9","94","1.31914893617021","124"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT4","8","74","1","74"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2","8","64","1","64"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325","6","39","1.25641025641026","49"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\css","8","16","1.625","26"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5","8","10","2.5","25"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\export","9","4","6","24"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 338","6","23","1","23"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3","8","23","1","23"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 393","6","22","1","22"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git","9","6","3.5","21"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs\cnts","9","20","1","20"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject","7","5","3","15"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\js","8","9","1.55555555555556","14"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs","8","8","1.625","13"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\hooks","10","13","1","13"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\imgs\prods","9","8","1.625","13"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\refs\remotes\origin","12","2","6","12"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\logs\refs\remotes\origin","13","2","6","12"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT4\p4-all-samples-v2","9","12","1","12"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT4\p4-all-samples-v1","9","12","1","12"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2\samp","9","10","1","10"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2\tmp","9","8","1","8"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\c2","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\15","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\logs","10","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\c0","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\f1","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\43","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\35","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3\web-stuff","9","6","1","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201","6","6","1","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\2c","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\refs\heads","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\logs\refs\heads","12","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\f8","11","1","6","6"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\project1","7","4","1","4"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2\samp\SocketSample","10","3","1","3"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121","6","39","0.0512820512820513","2"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2\.vscode","9","2","1","2"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2\samp\SimpleCodeSample","10","2","1","2"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3\client-out","9","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\01","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3\.vscode","9","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\3f","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\2b","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\info","10","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\6d","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\7d","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\95","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\93","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\a9","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\2a","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\ENGR 398","6","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\9d","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\7b","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\ENGL 398","6","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\12","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\df","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\e0","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\5c","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\59","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\4e","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\bd","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\74","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\91","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USSO 201\FinalProject\mp3","8","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT4\.vscode","9","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\7a","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\1f","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT5\.git\objects\29","11","1","1","1"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 8","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 9","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 1\Sim","9","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 12","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 4","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 10","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Lab 2\work","9","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #2","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHIN 101","6","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\WAVES","8","3","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 1","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\DCCIR","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 356","6","14","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 15","8","3","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 4\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 310","6","35","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P2P2","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 6","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\EPF","8","12","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\FSSY 117\Papers","7","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\JDST 371\Gospels","7","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 4","8","11","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\IND","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #3","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\SI Sessions","7","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122","6","29","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 7","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 14","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Long Problems","7","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Sample\LinkedList","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\MAG","8","19","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USNA 240","6","27","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 11\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 6\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 20","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 10\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\LCR","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281","6","22","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 1\Sim\work","10","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\STAT 312","6","19","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\In Class","7","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\RCCIR\Logger","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P2P1","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 201","6","57","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Sample","7","9","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 16","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 302","6","13","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #6","8","3","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 9","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\JDST 371","6","12","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Notetaking","7","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 201\For Exam 2\trans_comp_rref_egs","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 8\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Short Problems","7","14","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233","6","93","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\RCCIR","8","16","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 18","8","12","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Sample\HelloWorld","8","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 7\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 10","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P5","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\JDST 371\Sources for Essay 1","7","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\FSSY 117","6","50","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 5","8","3","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Asssignments","7","17","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 3","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P4","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 2","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Lab 2","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 11","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 121","6","53","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 1","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\Courses","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\IND\D2","9","12","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 9\work","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\Exams\1","8","8","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\Homework","7","19","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 17","8","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 122","6","46","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\Assembly\HW12","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 223","6","17","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\IND\D3","9","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\EOM","8","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 201\For Exam 2","7","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 13","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 7","8","12","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\Exams\2","8","8","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 11","8","5","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\JDST 371\Under Crescent and Cross","7","9","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P6","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 356\aim","7","7","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Programming Exercises\P3","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #1","8","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\DSO","8","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Asssignments\P3_gew39_Wolf\P3","9","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 21","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\IND\D4","9","8","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 281\ModelSim\Homework 6","8","10","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 8","8","4","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111\SSM\Chapter 19","8","3","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CHEM 111","6","121","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 233\Asssignments\P3_gew39_Wolf\__MACOSX","9","1","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\SI","7","2","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #5","8","6","0","0"
"C:\Users\gabee\iCloudDrive\Documents\Classes\STAT 312\r\hw10","8","4","0","0"
